58,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,59,
52,5,5,5,7,43,7,5,5,5,5,5,7,44,7,8,5,8,8,50,
52,9,9,9,11,43,11,9,9,9,9,9,11,44,11,12,12,9,9,50,
52,16,16,16,15,16,15,16,16,16,16,16,15,16,15,16,16,16,16,50,
52,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,53,
52,21,21,24,26,26,26,26,26,21,26,26,26,26,26,26,26,26,26,70,
52,21,21,29,30,31,31,31,31,21,31,31,31,31,31,31,31,31,31,31,
52,21,21,29,42,44,44,44,21,21,21,44,21,21,21,44,21,21,21,44,
52,21,21,29,42,44,44,44,21,21,21,26,21,21,21,26,21,21,21,44,
52,21,21,29,42,44,44,44,26,26,26,32,26,26,26,32,26,26,26,44,
52,21,21,29,42,44,44,44,32,32,32,44,32,32,32,44,32,32,32,44,
52,21,21,29,42,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,
