58,54,54,54,54,54,54,54,54,54,55,7,84,7,53,54,54,54,54,59,
52,6,5,6,5,5,6,5,5,5,8,11,85,11,6,6,6,6,8,50,
52,10,9,9,9,9,9,9,9,9,12,15,16,15,10,10,10,10,10,50,
52,16,16,16,16,16,16,16,16,16,16,21,21,21,16,16,16,16,16,50,
52,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,50,
52,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,50,
52,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,50,
52,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,50,
52,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,50,
52,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,50,
60,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,61,
51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,
